alpha,penalty,loss,l1_ratio,warm_start,accuracy,precision,recall,f1,true-negative,false-negative,false-positive,true-positive
0.0001,elasticnet,log,0.75,True,0.7578947368421053,0.7317073170731707,0.46153846153846156,0.5660377358490567,114,35,11,30
0.0001,elasticnet,modified_huber,0.15,False,0.7473684210526316,0.6164383561643836,0.6923076923076923,0.6521739130434783,97,20,28,45
0.0001,elasticnet,modified_huber,0.15,True,0.7421052631578947,0.7222222222222222,0.4,0.5148514851485149,115,39,10,26
0.0001,elasticnet,modified_huber,0.3,False,0.6263157894736842,0.4765625,0.9384615384615385,0.6321243523316062,58,4,67,61
0.0001,elasticnet,modified_huber,0.3,True,0.7157894736842105,0.8666666666666667,0.2,0.325,123,52,2,13
0.0001,elasticnet,modified_huber,0.45,False,0.7473684210526316,0.6075949367088608,0.7384615384615385,0.6666666666666666,94,17,31,48
0.0001,elasticnet,modified_huber,0.45,True,0.7526315789473684,0.75,0.4153846153846154,0.5346534653465346,116,38,9,27
0.0001,elasticnet,modified_huber,0.6,False,0.7631578947368421,0.717391304347826,0.5076923076923077,0.5945945945945945,112,32,13,33
0.0001,elasticnet,modified_huber,0.6,True,0.6421052631578947,0.4881889763779528,0.9538461538461539,0.6458333333333333,60,3,65,62
0.0001,elasticnet,modified_huber,0.75,False,0.7473684210526316,0.7575757575757576,0.38461538461538464,0.5102040816326531,117,40,8,25
0.0001,elasticnet,modified_huber,0.75,True,0.7631578947368421,0.6515151515151515,0.6615384615384615,0.6564885496183206,102,22,23,43
0.0001,elasticnet,squared_hinge,0.15,False,0.7105263157894737,0.75,0.23076923076923078,0.3529411764705882,120,50,5,15
0.0001,elasticnet,squared_hinge,0.15,True,0.7368421052631579,0.6829268292682927,0.4307692307692308,0.5283018867924528,112,37,13,28
0.0001,elasticnet,squared_hinge,0.3,False,0.7631578947368421,0.6785714285714286,0.5846153846153846,0.6280991735537191,107,27,18,38
0.0001,elasticnet,squared_hinge,0.3,True,0.6473684210526316,0.4918032786885246,0.9230769230769231,0.6417112299465242,63,5,62,60
0.0001,elasticnet,squared_hinge,0.45,False,0.7,0.5416666666666666,0.8,0.6459627329192547,81,13,44,52
0.0001,elasticnet,squared_hinge,0.45,True,0.6368421052631579,0.4846153846153846,0.9692307692307692,0.6461538461538462,58,2,67,63
0.0001,elasticnet,squared_hinge,0.6,False,0.7263157894736842,0.8095238095238095,0.26153846153846155,0.39534883720930236,121,48,4,17
0.0001,elasticnet,squared_hinge,0.6,True,0.7157894736842105,0.5662650602409639,0.7230769230769231,0.6351351351351351,89,18,36,47
0.0001,elasticnet,squared_hinge,0.75,False,0.7368421052631579,0.8260869565217391,0.2923076923076923,0.4318181818181819,121,46,4,19
